path_id,node_sequence
P39524,cane sugar > non-alcoholic beverages > frozen beverages
P39487,cane sugar > food preparations not elsewhere specified or included > meal replacement shakes
P39503,cane sugar > undenatured ethyl alcohol > liqueurs and cordials
P39504,cane sugar > undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher > grape spirits
P39526,"cane sugar > undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher > spirits, liqueurs and other spirituous beverages"
P39515,"cane sugar > sugar, refined > waters, including mineral and aerated, with added sugar"
P39510,cane sugar > food preparations not elsewhere specified or included > chocolate and other food preparations containing cocoa > ice cream and other edible ice
P39509,cane sugar > food preparations not elsewhere specified or included > sugar confectionery not containing cocoa > prepared or preserved beef
P39505,"cane sugar > food preparations not elsewhere specified or included > food preparations not elsewhere specified > prepared or preserved meat of swine, other than hams and shoulders"
P39500,"cane sugar > food preparations not elsewhere specified or included > chocolate and other food preparations containing cocoa > bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa"
P39494,cane sugar > food preparations not elsewhere specified or included > sugar confectionery not containing cocoa > edible fruit and nut preparations
P39513,"cane sugar > undenatured ethyl alcohol > beer made from malt > beverages, fermented (e.g., cider, perry, mead)"
P39485,"cane sugar > food preparations not elsewhere specified or included > non-alcoholic beverages (excluding fruit or vegetable juices) > other non-alcoholic beverages, not including fruit or vegetable juices"
P39486,"cane sugar > food preparations not elsewhere specified or included > food preparations not elsewhere specified > other non-alcoholic beverages, not including fruit or vegetable juices"
P28107,"capsicum or pimenta, fresh or chilled > vegetables and mixtures of vegetables, dried, whole, cut, sliced, broken or in powder, but not further prepared > processed vegetables"
P28105,"capsicum or pimenta, fresh or chilled > vegetables and mixtures of vegetables, dried, whole, cut, sliced, broken or in powder, but not further prepared > dried vegetables and mixtures of vegetables > sausages and similar products, of meat, meat offal or blood"
P28106,"capsicum or pimenta, fresh or chilled > vegetables and mixtures of vegetables, dried, whole, cut, sliced, broken or in powder, but not further prepared > dried vegetables and mixtures of vegetables > mixed seasonings and condiments"
P39758,"carbides, whether or not chemically defined > plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides > interchangeable tools for hand- or machine-tools"
P28301,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > flight simulators"
P28270,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg"
P28299,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P28278,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49"
P28275,"carbon (carbon blacks and other forms of carbon, n.e.s.) > chemical wood pulp, sulphite, other than dissolving grades, unbleached or bleached > uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, in rolls or sheets, other than paper of heading 4801 or 4803, weighing 40 g/m² or more but not more than 150 g/m²"
P28310,"carbon (carbon blacks and other forms of carbon, n.e.s.) > new pneumatic tyres, of rubber, of a kind used on motor cars (including station wagons and racing cars) > trucks, with a gvw not exceeding 5 tonnes"
P28316,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > video games of a kind used with a television receiver"
P28284,"carbon (carbon blacks and other forms of carbon, n.e.s.) > carbon (carbon blacks and other forms of carbon, not elsewhere specified or included) > electrodes of graphite or other carbon, for electric furnaces"
P28273,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > microbiological testing instruments and apparatus"
P28266,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of computers > telephones for cellular networks or for other wireless networks"
P28322,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > automated order entry systems"
P28300,"carbon (carbon blacks and other forms of carbon, n.e.s.) > other plates and film, with any side exceeding 255 mm, for color photography > optical media for software > flight simulators"
P28269,"carbon (carbon blacks and other forms of carbon, n.e.s.) > other plates and film, with any side exceeding 255 mm, for color photography > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg"
P28298,"carbon (carbon blacks and other forms of carbon, n.e.s.) > other plates and film, with any side exceeding 255 mm, for color photography > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P28277,"carbon (carbon blacks and other forms of carbon, n.e.s.) > other plates and film, with any side exceeding 255 mm, for color photography > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49"
P28279,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of computers > other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment"
P28290,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following types of units: storage units, input units, output units"
P28318,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > voice over internet protocol (voip) products"
P28272,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > thermometers, not combined with other instruments"
P28320,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of computers > automated medication dispensing systems"
P28305,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of computers > gaming machines (other than video game consoles)"
P28304,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of computers > wireless networking devices"
P28313,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > point of sale terminals"
P28314,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > semiconductor design ip"
P28262,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > tablets"
P28276,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > other office machines"
P28307,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > electronic payment processing equipment"
P28283,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > robotic vacuum cleaners"
P28281,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > parts and accessories of the machines of heading 8471 > telecommunication apparatus"
P28308,"carbon (carbon blacks and other forms of carbon, n.e.s.) > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > neuromodulation devices"
P42903,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > toothpaste"
P42899,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > artificial graphite, whether or not in plates, sheets or other semi-manufactured forms"
P42901,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > limestone flux, limestone and other calcareous stone"
P42894,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > pavement additives"
P42908,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > ceramic flags and paving, hearth or wall tiles"
P42911,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > artificial corundum > mineral wool insulation"
P42916,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > asphalt mixtures and blocks"
P42909,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > ceramic flags and paving, hearth or wall tiles"
P42924,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > plaster boards and similar articles"
P42895,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > portland cement, other than white cement > construction services"
P42917,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > artificial corundum > other articles of cement, of concrete or of artificial stone"
P42922,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > feldspar > glass bottles of a kind used for the conveyance or packing of goods"
P42921,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > dental cements and other dental fillings"
P42914,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > articles of stone or other mineral substances, nonelectric > tennis rackets"
P42907,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > optical media for software > flight simulators"
P42896,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg"
P42906,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P42897,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49"
P42893,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > articles of cement, concrete or artificial stone, whether or not reinforced"
P42915,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > cement clinkers > other articles of cement"
P42898,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > titanium oxides > photographic plates and film for color photography"
P42923,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > bentonite > plaster boards and similar articles"
P42892,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > portland cement, other than white, whether or not artificially colored > articles of cement, concrete or artificial stone, whether or not reinforced"
P42910,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > artificial corundum, whether or not chemically defined > mineral wool insulation"
P42904,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > paper and paperboard, coated on one or both sides with kaolin or other inorganic substances > uncoated paper, used for writing, printing, etc."
P42900,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > float glass and surface ground or polished glass, in sheets, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels > glass for liquid crystal displays"
P42902,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > paper and paperboard, coated on one or both sides with kaolin or other inorganic substances > other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size"
P42919,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > optical media for software > video games of a kind used with a television receiver"
P42913,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > ecaussine and other calcareous monumental or building stone; alabaster > worked monumental or building stone (except slate) and articles thereof, simply cut or sawn, with a flat or even surface"
P42905,"carbonates, peroxocarbonates (percarbonates), nes > kaolin and other kaolinic clays > paper and paperboard, coated with kaolin or other inorganic substances > paper and paperboard, surface-colored, surface-decorated or printed, in rolls or sheets"
P29983,"carboxylic acid anhydrides > non-aromatic carboxylic acids and their anhydrides, halides, peroxides, peroxyacids and their derivatives > iloperidone (fanapt)"
P10361,carboxylic acids with additional oxygen function and their anhydrides > plant growth regulators > fertilizers and plant growth regulators
P3395,"carboys, bottles, flasks and similar articles, of plastics > milk and cream, not concentrated nor containing added sugar or sweetening matter, of a fat content, by weight, not exceeding 1% > soups and broths"
P3394,"carboys, bottles, flasks and similar articles, of plastics > mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored > waters, including mineral waters and aerated waters, with added sugar"
P3393,"carboys, bottles, flasks and similar articles, of plastics > mineral and aerated waters, not containing added sugar or other sweetening matter nor flavored > non-alcoholic beverages > energy drinks"
P3396,"carboys, bottles, flasks and similar articles, of plastics > mineral and aerated waters, not containing added sugar or other sweetening matter nor flavored > non-alcoholic beverages > frozen beverages"
P10511,"carded wool yarn > woven fabrics of carded wool or fine animal hair, containing 85% or more by weight of wool or fine animal hair > men's or boys' trousers and shorts, of wool or fine animal hair"
P3576,cards incorporating a magnetic stripe > quantum computers
P3549,cards incorporating a magnetic stripe > optical media for software > flight simulators
P3517,cards incorporating a magnetic stripe > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P3546,"cards incorporating a magnetic stripe > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P3525,cards incorporating a magnetic stripe > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P3564,cards incorporating a magnetic stripe > optical media for software > video games of a kind used with a television receiver
P3522,"cards incorporating a magnetic stripe > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > microbiological testing instruments and apparatus"
P3514,cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > telephones for cellular networks or for other wireless networks
P3572,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > automated order entry systems
P3528,"cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment"
P3538,"cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following types of units: storage units, input units, output units"
P3568,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > voice over internet protocol (voip) products
P3521,"cards incorporating a magnetic stripe > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > thermometers, not combined with other instruments"
P3570,cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > automated medication dispensing systems
P3555,cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > gaming machines (other than video game consoles)
P3554,cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > wireless networking devices
P3562,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > point of sale terminals
P3563,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > semiconductor design ip
P3510,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > tablets
P3524,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > other office machines
P3557,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > electronic payment processing equipment
P3532,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > robotic vacuum cleaners
P3530,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > telecommunication apparatus
P3558,"cards incorporating a magnetic stripe > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > neuromodulation devices"
P3523,cards incorporating a magnetic stripe > optical media for software > parts and accessories of computers > portable digital electronic devices
P3537,"cards incorporating a magnetic stripe > optical media for software > storage units, whether or not presented with the rest of a system > computing servers"
P3543,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > automated data processing equipment
P3545,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > automatic data processing machines and units thereof; other than those of heading 8471.41 or 8471.49
P3556,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > cash registers
P3515,cards incorporating a magnetic stripe > optical media for software > parts and accessories of the machines of heading 8471 > electronic machines with connectivity
P3255,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > flight simulators
P3229,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P3254,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P3235,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P3268,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > video games of a kind used with a television receiver
P3232,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > microbiological testing instruments and apparatus"
P3226,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > telephones for cellular networks or for other wireless networks
P3274,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > automated order entry systems
P3236,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment"
P3246,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following types of units: storage units, input units, output units"
P3270,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > voice over internet protocol (voip) products
P3231,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > thermometers, not combined with other instruments"
P3272,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > automated medication dispensing systems
P3259,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > gaming machines (other than video game consoles)
P3258,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > wireless networking devices
P3266,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > point of sale terminals
P3267,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > semiconductor design ip
P3222,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > tablets
P3234,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > other office machines
P3261,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > electronic payment processing equipment
P3240,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > robotic vacuum cleaners
P3238,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > telecommunication apparatus
P3262,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > neuromodulation devices"
P3233,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of computers > portable digital electronic devices
P3245,"cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > storage units, whether or not presented with the rest of a system > computing servers"
P3251,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > automated data processing equipment
P3253,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > automatic data processing machines and units thereof; other than those of heading 8471.41 or 8471.49
P3260,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > cash registers
P3227,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > electronic machines with connectivity
P3277,cards incorporating an electronic integrated circuit 'smart cards' > optical media for software > parts and accessories of the machines of heading 8471 > firewall appliances
P33883,"carpets and other textile floor coverings, tufted, of nylon or other polyamides > articles and equipment for general physical exercise, gymnastics, athletics, other sports or outdoor games, n.e.s. > other articles for sports or outdoor games"
P24220,cartridges and parts thereof > cartridges for shotguns
P14485,casing and tubing of iron or steel for drilling > bituminous coal > crushed stone of a kind used for concrete aggregates
P14441,"casing and tubing of iron or steel for drilling > bituminous coal > portland cement, other than white cement > construction services"
P14490,casing and tubing of iron or steel for drilling > bituminous coal > salt (sodium chloride) > dental hygiene preparations including dentifrices
P14482,"casing and tubing of iron or steel for drilling > bituminous coal > gold, unwrought or in semi-manufactured forms > jewelry of silver"
P14455,casing and tubing of iron or steel for drilling > bituminous coal > titanium oxides > photographic plates and film for color photography
P14456,"casing and tubing of iron or steel for drilling > bituminous coal > gold in unwrought forms > wrist-watches, electrically operated, with mechanical display only"
P14460,"casing and tubing of iron or steel for drilling > bituminous coal > nickel, unwrought, not alloyed > other ammunition and projectiles"
P14458,"casing and tubing of iron or steel for drilling > bituminous coal > nickel, unwrought, not alloyed > gas turbine engine parts"
P14487,"casing and tubing of iron or steel for drilling > bituminous coal > petroleum coke > other articles of cement, of concrete or of artificial stone"
P14486,casing and tubing of iron or steel for drilling > bituminous coal > cement clinkers > asphalt mixtures and blocks
P14466,"casing and tubing of iron or steel for drilling > bituminous coal > cement clinkers > ceramic flags and paving, hearth or wall tiles"
P14497,casing and tubing of iron or steel for drilling > bituminous coal > cement clinkers > plaster boards and similar articles
P14448,"casing and tubing of iron or steel for drilling > bituminous coal > flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled > passenger and cargo ships"
P14467,casing and tubing of iron or steel for drilling > bituminous coal > quicklime > mineral wool insulation
P14484,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > machines and mechanical appliances having individual functions, not specified elsewhere"
P14468,casing and tubing of iron or steel for drilling > bituminous coal > petroleum coke > mineral wool insulation
P14476,casing and tubing of iron or steel for drilling > bituminous coal > potassium chloride for use as fertilizer > fertilizers and plant growth regulators
P14471,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > air or vacuum pumps, compressors and fans"
P14500,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > cruise ships, excursion boats, ferry-boats, cargo ships, barges"
P14480,casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > front-end shovel loaders
P14475,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > machinery and apparatus for soldering, brazing, welding, or surface tempering"
P14445,casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > machinery for working rubber or plastics
P14470,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > machinery, plant or laboratory equipment for treatment of materials"
P14472,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > machinery, plant or laboratory equipment, whether or not electrically heated"
P14440,casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > other vessels for the transport of goods and offshore drilling
P14457,casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > precision weighing modules
P14452,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > refrigerators, freezers and other refrigerating or freezing equipment"
P14446,"casing and tubing of iron or steel for drilling > bituminous coal > nickel, unwrought, not alloyed > nickel alloy bars, rods, profiles, and wire"
P14465,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > bulldozers and angle dozers, self-propelled"
P14493,"casing and tubing of iron or steel for drilling > bituminous coal > semi-finished products of iron or non-alloy steel > cruise ships, excursion boats"
P46550,"casing, tubing and drill pipe, used in drilling for oil or gas > industrial or laboratory furnaces and ovens, non-electric"
P9775,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical machines and apparatus, having individual functions, n.e.s. in chapter 85"
P9771,cast iron or steel tube or pipe fittings > parts of transformers and inductors > optical media for software > flight simulators
P9765,cast iron or steel tube or pipe fittings > parts of transformers and inductors > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P9770,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P9767,cast iron or steel tube or pipe fittings > parts of transformers and inductors > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P9778,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > inductors; for electrical equipment > office machines, n.e.s."
P9764,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical control and distribution boards > parts of vacuum pumps, air or gas compressors and fans; ventilating or recycling hoods incorporating a fan"
P9777,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical transformers, static converters, and inductors > communication apparatus"
P9776,cast iron or steel tube or pipe fittings > parts of transformers and inductors > optical media for software > video games of a kind used with a television receiver
P9779,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical transformers, static converters, and inductors > headphones, earphones and combined microphone/speaker sets"
P9766,cast iron or steel tube or pipe fittings > parts of transformers and inductors > parts for electrical apparatus > other switches
P9774,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical transformers > freezers of the upright type, not exceeding 900 liters capacity"
P9769,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical transformers, static converters, and inductors > electrotherapy devices"
P9773,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > electrical transformers, static converters (for example, rectifiers) and inductors; parts thereof > static converters for solar power"
P9772,"cast iron or steel tube or pipe fittings > parts of transformers and inductors > parts for electrical transformers and inductors > static converters (e.g., ups systems)"
P9768,cast iron or steel tube or pipe fittings > parts of transformers and inductors > parts for electrical transformers > isolators
P14971,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > tablets"
P14976,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > optical media for software > flight simulators"
P14972,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg"
P14975,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P14973,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49"
P14974,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > static converters; power supplies for automatic data-processing machines or units thereof > automatic data processing machines containing in the same housing at least a central processing unit and an input and output unit, whether or not combined"
P14977,"catalysts, supported, precious metal or precious metal compounds as the active substance > lithium-ion accumulators (batteries) > optical media for software > video games of a kind used with a television receiver"
P25185,"cellular rubber or plastics > articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled with any material or of cellular rubber or plastics, whether or not covered > mattresses of cellular rubber or plastics, whether or not covered"
P28417,"cellulose nitrates (including collodions), in primary forms > cellulosic polymers"
P28426,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > body cameras"
P28432,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > respiratory ventilators"
P28433,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > sweaters, pullovers, sweatshirts, waistcoats (vests) and similar articles, of man-made fibres, knitted or crocheted"
P28440,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > bicycle suspension components"
P28408,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > cameras and video camera recorders"
P28410,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > electro-surgical instruments"
P28424,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > respiratory apparatus (oxygen concentrators)"
P28411,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > surgical and medical instruments"
P28430,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > other appliances which are worn or carried, or implanted in the body"
P28416,"cellulose nitrates (including collodions), in primary forms > articles of plastics and articles of other materials of headings 3901 to 3914 > therapeutic appliances"
