scenario_id,scenario_type,linked_items,item_count
17308,location,Electric Vehicle Batteries;Electric Vehicles;Honeycomb Cores;Parts for electrical transformers and static converters,4
17309,location,Rum and Other Spirits,1
17310,location,Parts for boring or sinking machinery;Petroleum oils and oils obtained from bituminous minerals,2
17311,location,"Electric ovens, cookers, cooking plates, boiling rings, grillers and roasters;Household washing machines, fully automatic",2
17312,location,"Wood in the rough, coniferous, whether or not stripped of bark or sapwood",1
17313,location,Firdapse (Amifampridine) - Treatment for Lambert-Eaton myasthenic syndrome,1
17314,location,Coaxial Cable;Network Equipment,2
17315,location,Light oils and preparations (motor spirit/gasoline);Other petroleum oils and oils obtained from bituminous minerals,2
17316,location,Petroleum Oils (not crude) and oils obtained from bituminous minerals;Petroleum bitumen,2
17317,location,Galvanized Steel Structures,1
17318,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17319,location,"Integrated Circuits, Processors and Controllers",1
17320,location,Mineral and aerated waters,1
17321,location,"Bread, pastry, cakes, biscuits and other bakers' wares;Coconut Snacks",2
17322,location,Electronic Integrated Circuits;Food preparations not elsewhere specified or included;Wiring harnesses for vehicles,3
17323,location,Chromatographs and electrophoresis instruments,1
17324,location,"Vessels for the transport of goods, other than tankers",1
17325,location,"Taps, cocks, valves and similar appliances",1
17326,location,Parts and Accessories of Bodies for Motor Vehicles,1
17327,location,"Cartons, boxes and cases, corrugated paper or paperboard;Corn starch;Maize (corn) starch;Parts of airplanes or helicopters;Prepared Foods Obtained by the Swelling or Roasting of Cereals or Cereal Products (e.g., Corn Flakes);Radar Apparatus;Radar Equipment;Soybeans",8
17328,location,Wooden furniture of a kind used in offices,1
17329,location,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines;Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",2
17330,location,"Electronic Integrated Circuits, Other",1
17331,location,Crude Oil;Natural Gas,2
17332,location,Natural Gas,1
17333,location,"Brewing or distilling dregs and waste, whether or not in the form of pellets;Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher",2
17334,location,"Lignite, Not Agglomerated",1
17335,location,Sodium Hydroxide (Caustic Soda),1
17336,location,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated",1
17337,location,Parts of industrial machinery,1
17338,location,"Herbicides, anti-sprouting products and plant-growth regulators",1
17339,location,Copper Ores and Concentrates,1
17340,location,Copper Cathodes;Unrefined Copper; Copper Anodes for Electrolytic Refining,3
17341,location,"Plywood, Veneered Panels and Similar Laminated Wood",1
17342,location,"Light oils and preparations, of petroleum or bituminous minerals",1
17343,location,"Petroleum bitumen;Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations n.e.c.",3
17344,location,Aniline derivatives and their salts,1
17345,location,Corn (Maize) Seed,1
17346,location,Mobile Homes;Prefabricated Buildings,2
17347,location,"Analog Semiconductors;Insulating Parts of Electrical Machines;Integrated Circuits;Integrated Circuits, Processors and Controllers;Memories;Memories, Electronic Integrated Circuits;Memories, Integrated Circuits;Memory Products",8
17348,location,"Paints and varnishes, based on acrylic or vinyl polymers",1
17349,location,Seats of a kind used for motor vehicles,1
17350,location,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",1
17351,location,Protein Bars,1
17352,location,Herbal Teas,1
17353,location,Gym equipment,1
17354,location,"Chlorodifluoromethane (HCFC-22);Drive Axles with Differential, whether or not provided with other transmission components;Gear Boxes and Parts Thereof;Parts and Accessories of the Motor Vehicles",4
17355,location,"Bananas, including plantains, fresh or dried",1
17356,location,"Endless Transmission Belts of Trapezoidal Cross-Section (V-belts), of an Outside Circumference Exceeding 60 cm but not Exceeding 180 cm;Mechanical shovels, excavators and shovel loaders;Parts of air conditioning machines;Tractors (other than tractors of heading 8709);Weighing machinery having a maximum weighing capacity exceeding 30 kg but not exceeding 5,000 kg",5
17357,location,"Freezers of the chest type, not exceeding 800 l capacity;Gears and Gearboxes;Lifts and skip hoists;Rubber Tubes, Pipes and Hoses with Fittings",4
17358,location,"Natural Gas Liquids (NGLs);Tankers;Vessels for the transport of goods, other than tankers",3
17359,location,"Ethylene;Polyethylene, specific gravity of 0.94 or more;Supported catalysts with nickel or nickel compounds as the active substance",3
17360,location,Parts and accessories of data processing equipment,1
17361,location,Digital processing units;Radar Systems,2
17362,location,Motorhomes;Preparations of a kind used in animal feeding,2
17363,location,Prefabricated Buildings,1
17364,location,Parts of Aeroplanes or Helicopters;X-ray generators and parts thereof,2
17365,location,Sodium Hydroxide (Caustic Soda);Sulfuric Acid,2
17366,location,Motor Vehicles for Transport of Goods;Special Purpose Vehicles;Trucks with Gross Vehicle Weight Exceeding 20 Tons,3
17367,location,"Beverages, non-alcoholic, sweetened or flavored",1
17368,location,Medical Instruments and Appliances,1
17369,location,"Mineral and aerated waters, unsweetened;Prefabricated Buildings;Residential Lot Development",3
17370,location,"Air conditioning machines, window or wall types, self-contained;Prepared or preserved meat;Wooden Doors and Frames;Wound Dressings and Bandages",4
17371,location,"Parts for Air or Vacuum Pumps, Air or Other Gas Compressors",1
17372,location,Other articles of plastics;Parts and accessories for machines of heading 8486,2
17373,location,"Printed Books, Brochures, Leaflets;Printed Forms, Including Checkbooks",2
17374,location,Hair Care Products,1
17375,location,"Carpets and other textile floor coverings, tufted, of wool or fine animal hair",1
17376,location,"Beverages, non-alcoholic, sweetened or flavored",1
17377,location,Pipe fittings of iron or steel (excluding stainless),1
17378,location,"Asphalt Mixing Plant;Concrete Mixing Plant;Crushing Machines;Industrial Valves;Paving Equipment;Prepared or preserved chicken meat;Protein concentrates and textured protein substances;Valves and similar appliances for pipes, boiler shells, tanks, vats or the like",8
17379,location,Other instruments and apparatus for physical or chemical analysis,1
17380,location,Industrial Machinery for Temperature Control,1
17381,location,"Instruments and Appliances for Medical, Surgical, Dental or Veterinary Sciences",1
17382,location,"Diodes, other than photosensitive or light-emitting diodes;Electronic integrated circuits, other than processors and controllers;Electronic integrated circuits; n.e.s. in heading no. 8542;Other electronic integrated circuits;Portable Digital Automatic Data Processing Machines;Portable automatic data processing machines;Power Supply Units",8
17383,location,Diagnostic or laboratory reagents on a backing;Portable Computers (Laptops);Tablets,3
17384,location,"Arc Welding Equipment;Boards, panels, consoles, desks, cabinets and other bases for control or distribution of electricity, for a voltage not exceeding 1,000 V;Cash registers;Coated electrodes of base metal, for electric arc-welding;Composite Cans;Compressors of a kind used in refrigerating equipment;Dispensing systems;Flexible Intermediate Bulk Containers",8
17385,location,"Air Conditioning Machines, Incorporating a Refrigerating Unit;Analog Semiconductors;Centrifugal Pumps;Hydraulic Power Engines and Motors;Input or output units, whether or not containing storage units in the same housing;Measuring or Checking Instruments, Appliances and Machines, Not Specified or Included Elsewhere;Processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units;Seats of a kind used for motor vehicles",8
17386,location,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter",1
17387,location,"Ammonium Nitrate, whether or not in aqueous solution;Anhydrous Ammonia",2
17388,location,Beauty or Makeup Preparations,1
17389,location,Toilet paper,1
17390,location,Builders' joinery and carpentry of wood,1
17391,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
17392,location,"Coffee, not roasted or decaffeinated",1
17393,location,Folding Cartons,1
17394,location,Light Oils and Preparations,1
17395,location,"Butanes, Liquefied;Parts for television, radio, and radar apparatus;Petroleum Oils and Oils Obtained from Bituminous Minerals (other than crude) and Preparations",3
17396,location,Sausages and similar products,1
17397,location,"Boxes, cases, crates and similar articles of plastics;Building Blocks and Bricks of Cement, Concrete or Artificial Stone;Real Estate Development Services",3
17398,location,"Articles of apparel and clothing accessories of vulcanised rubber other than hard rubber;Metal furniture, other than office furniture",2
17399,location,"Cans, iron or steel, other;Medicaments consisting of mixed or unmixed products, for therapeutic or prophylactic uses;Medicaments containing insulin, for therapeutic or prophylactic uses;Men's or boys' trousers, bib and brace overalls, breeches and shorts, of synthetic fibres;Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size;Passenger Motor Vehicles with Spark-Ignition Internal Combustion Reciprocating Piston Engine of a Cylinder Capacity Exceeding 3,000 cc;Plastic articles for the conveyance or packing of goods, of plastics;Potato Chips",8
17400,location,Pharmaceutical products (Humira),1
17401,location,Electric Generating Sets,1
17402,location,"Instruments and apparatus for medical, surgical or veterinary use",1
17403,location,Plastic containers and bottles;Sprays and spray parts,2
17404,location,Parts Suitable for Use Solely or Principally with Internal Combustion Engines;Road Tractors for Semi-Trailers;Trucks with a Gross Vehicle Weight Exceeding 20 Metric Tons,3
17405,location,"Steel Doors and Their Frames;Windows, French-Windows and Their Frames, Wooden;Wooden Doors and Frames",3
17406,location,"Action figures and accessories;Festive articles;Footwear with outer soles and uppers of rubber or plastics;Footwear with outer soles of rubber, plastics or composition leather and uppers of leather;Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather;Insulated Bags and Soft Coolers;Other Furniture and Parts Thereof;T-shirts, singlets and other vests, of cotton, knitted or crocheted",8
17407,location,Video game consoles and machines,1
17408,location,Copper Ores and Concentrates,1
17409,location,Beer made from malt;Printed Circuits,2
17410,location,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,1
17411,location,"Epoxide resins, in primary forms",1
17412,location,"Fuel, Lubricating or Cooling Medium Pumps for Internal Combustion Engines",1
17413,location,"Carpets and other textile floor coverings, tufted, of nylon or other polyamides;Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus;Optical devices, appliances and instruments, not specified or included elsewhere in this chapter; lasers, other than laser diodes;Other carpets and other textile floor coverings, whether or not made up;Sports Footwear",6
17414,location,"Machines which perform two or more of the functions of printing, copying or facsimile transmission;Parts and accessories of printers, copying machines and facsimile machines;Passenger Motor Vehicles with Spark-Ignition Internal Combustion Reciprocating Piston Engine of a Cylinder Capacity Not Exceeding 1,500 cc;Power Supply Units;Transistors, Other than Photosensitive Transistors",5
17415,location,GPS Navigation Equipment;Surveying Instruments and Appliances,2
17416,location,"Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof",1
17417,location,Parts of airplanes or helicopters,1
17418,location,Golf Gloves,1
17419,location,Lithium-ion Batteries,1
17420,location,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",1
17421,location,"Footwear with outer soles of rubber, plastics or composition leather",1
17422,location,"Hormones and other medicaments, excluding antibiotics, for therapeutic or prophylactic uses, put up in measured doses",1
17423,location,Coal Tar Distillation Products,1
17424,location,Wood Preservatives,1
17425,location,Soap and Organic Surface-Active Products for Toilet Use,1
17426,location,"Beer made from malt;Illuminated signs, illuminated nameplates and the like;Spirits, liqueurs and other spirituous beverages",3
17427,location,"Hooks, eyes and eyelets;Machinery for the treatment of materials by a process involving a change of temperature;Parts of airplanes or helicopters, n.e.s.;Sanitary towels (pads) and tampons, napkins and napkin liners for babies;Screws and bolts;Shaving preparations, personal deodorants and antiperspirants;Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes",8
17428,location,"Polycarbonates, in primary forms",1
17429,location,Gas or smoke analysis apparatus,1
17430,location,Men's or boys' garments of man-made fibers,1
17431,location,Wiring harnesses for vehicles,1
17432,location,Cardiac Pacemakers,1
17433,location,"Structures and parts of structures, of iron or steel",1
17434,location,Coaxial Cable;Network Equipment;Optical Fiber Cables,3
17435,location,Medical Instruments and Appliances,1
17436,location,"Acrylic Polymers, In Primary Forms;Bromine Compounds;Ethyl Acetate",3
17437,location,Military Aircraft;Other Parts of Aircraft,2
17438,location,"Instruments and Apparatus for Measuring or Checking Pressure;Parts of aircraft, spacecraft, or space vehicles;Parts of turbojets or turbopropellers;Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard, and a display",4
17439,location,Yachts and other vessels for pleasure or sports,1
17440,location,Hydraulic lime;Slaked lime,2
17441,location,Calcium carbonate;Salt (including table salt and denatured salt),2
17442,location,Electronic pool control systems;Pumps for swimming pools,2
17443,location,"Flat-rolled products of iron or non-alloy steel, in coils",1
17444,location,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more;Semi-finished products of iron or non-alloy steel",2
17445,location,"Flat-rolled products of iron or non-alloy steel, width of 600 mm or more, cold-rolled",1
17446,location,"AC Motors, Multiphase, of an Output Exceeding 750 W but Not Exceeding 75 kW;Arc Welding Equipment;Cored Wire of Base Metal, for Electric Arc-Welding;Garments, made up of fabrics of heading 5602, 5603, 5903, 5906 or 5907;Other Welding Apparatus;Other paints and varnishes;Parts and Accessories for Office Machines;Structures and parts of structures, of iron or steel",8
17447,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17448,location,"Electric ovens, cookers, cooking plates, boiling rings, grillers and roasters",1
17449,location,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions",1
17450,location,"Folding cartons, boxes and cases of non-corrugated paper or paperboard;Other articles of vulcanized rubber other than hard rubber",2
17451,location,Animal Feed Supplements;Veterinary Medicines,2
17452,location,"Corn starch;Soybeans, whether or not broken",2
17453,location,"Blood Processing Machines;Instruments and appliances used in medical, surgical, or veterinary sciences",2
17454,location,Wooden Kitchen Cabinets,1
17455,location,"Instruments and appliances used in medical, surgical, dental, or veterinary sciences, n.e.s.",1
17456,location,Cardiology Devices,1
17457,location,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibers",1
17458,location,"Household washing machines, fully automatic;Household washing machines, not fully automatic",2
17459,location,Fresh Grapes,1
17460,location,Liquefied Petroleum Gas (LPG),1
17461,location,Other Coal,1
17462,location,"Mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored",1
17463,location,"Structures and parts of structures, of iron or steel, for solar trackers",1
17464,location,"Petroleum oils and oils obtained from bituminous minerals, other than crude;Propane, liquefied",2
17465,location,Centrifugal Pumps;Industrial Valves,2
17466,location,Corrugated Paper Boxes,1
17467,location,"Fats and oils, animal or vegetable, and their fractions",1
17468,location,"Guavas, mangoes and mangosteens, fresh or dried;Nuts and seeds, prepared or preserved (excluding by vinegar or acetic acid)",2
17469,location,Quantum Computers,1
17470,location,Bearing Housings;Tapered Roller Bearings,2
17471,location,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines;Parts and accessories of motor vehicles",2
17472,location,"New pneumatic tires, of rubber, of a kind used on buses or lorries;New pneumatic tires, of rubber, of a kind used on motor cars",2
17473,location,"Hair Shampoos;Phenolic resins, in primary forms;Steel Drums",3
17474,location,"Avocados, fresh or dried;Guavas, mangoes and mangosteens, fresh or dried",2
17475,location,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of synthetic fibres;T-shirts, singlets and other vests, of cotton, knitted or crocheted",2
17476,location,Bentonite,1
17477,location,"Hot-rolled bars, in irregularly wound coils, of iron or non-alloy steel;Other bars and rods, of iron or non-alloy steel, hot-rolled, in irregularly wound coils",2
17478,location,Meat substitutes;Plant-based burgers;Plant-based sausages;Transmission Shafts and Cranks,4
17479,location,"Beverages, non-alcoholic, sweetened or flavored",1
17480,location,"ATM machines;Air Conditioning Machines, Incorporating a Refrigerating Unit;Cash registers;Gaskets, washers and other seals of vulcanized rubber;Heat Pumps Other Than Air Conditioning Machines of Heading 8415;Pasta, Prepared or Preserved;Point of Sale (POS) terminals;Point-of-sale terminals",8
17481,location,"Artificial graphite, whether or not in plates, sheets or other semi-manufactured forms",1
17482,location,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines);Parts suitable for use solely or principally with the machines of headings 8501 or 8502,2
17483,location,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,1
17484,location,"Frozen meat of swine, other than carcasses and half-carcasses",1
17485,location,Crushed Stone of a Kind Used for Concrete Aggregates,1
17486,location,Parts of airplanes or helicopters;Turbojets of a thrust exceeding 25 kN,2
17487,location,"Beverages, non-alcoholic, not including water, containing added sugar or sweetener;Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles",2
17488,location,"Concrete Mixing Plant;Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated;Parts Suitable for Use Solely or Principally with Internal Combustion Engines;Semi-finished products of iron or non-alloy steel, containing by weight less than 0.25% of carbon",4
17489,location,Needles for medical use;Syringes;Tubular metal needles and needles for sutures,3
17490,location,"Bakery Products;Edible fruit and nut preparations;Fresh Eggs;Other non-alcoholic beverages, not including fruit or vegetable juices;Prefabricated Buildings",5
17491,location,"Articles of plastics, not elsewhere specified or included;Boxes, cases, crates and similar articles of plastics;Cyclic Alcohols;Exercise Equipment;Medicaments Containing Antibiotics;Metal Connectors and Anchors;Other Tubes, Pipes and Hollow Profiles of Iron or Steel;Other instruments and apparatus using optical radiations (ultraviolet, visible, infrared)",8
17492,location,"Corrugated paper and paperboard, in rolls or sheets;Other paper and paperboard, articles thereof",2
17493,location,Immunological Products;Medical Sterilizers,2
17494,location,Optical fibers and cables,1
17495,location,"Gold, unwrought",1
17496,location,Dispensing systems;Plastic containers and bottles;Sprays and spray parts,3
17497,location,Frozen Potatoes,1
17498,location,Metal Furniture;Wooden Furniture,2
17499,location,Composite Matting Systems;Drilling Fluids and Additives,2
17500,location,"Additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals;Lubricating preparations (including cutting oil, bolt or nut release preparation, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants);Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",3
17501,location,"Folding Cartons, Boxes and Cases",1
17502,location,"Coffee, not roasted, not decaffeinated;Extracts, essences and concentrates of coffee;Instant coffee, not flavored",3
17503,location,"Industrial Valves;Intake air filters for internal combustion engines;Oil or fuel filters for internal combustion engines;Parts of filtering or purifying machinery and apparatus, for liquids or gases",4
17504,location,Titanium Ores and Concentrates,1
17505,location,"Lumber, Sawn or Chipped Lengthwise, of Coniferous Wood",1
17506,location,Instruments and apparatus for physical or chemical analysis,1
17507,location,Plastic articles for technical uses,1
17508,location,"Antiviral medications;Desktop Computers;Endoscopy Devices;HIV treatment medications;Hepatitis C treatment medications;Instruments and appliances used in medical, surgical, dental, or veterinary sciences, n.e.s.;Medical Instruments and Appliances;Medicaments Consisting of Mixed or Unmixed Products for Therapeutic or Prophylactic Uses, Put Up in Measured Doses or in Forms or Packings for Retail Sale, Not Elsewhere Specified or Included",8
17509,location,Glass ceramics;Optical fibers and cables,2
17510,location,Energy Drinks;Non-alcoholic Beverages,2
17511,location,Liquefied propane,1
17512,location,"Petroleum oils and oils obtained from bituminous minerals, other than crude",1
17513,location,Ethylene,1
17514,location,"Plastic boxes, cases, crates and similar articles",1
17515,location,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",1
17516,location,"Machines which perform two or more of the functions of printing, copying or facsimile transmission;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",2
17517,location,Frozen cuts and edible offal of fowls of the species Gallus domesticus (chicken),1
17518,location,"Printed Forms, Including Checkbooks",1
17519,location,Centrifugal Pumps;Industrial Valves,2
17520,location,"Bananas, fresh or dried;Leeks and other alliaceous vegetables, fresh or chilled;Other instruments and apparatus for measuring or checking electrical quantities;Pineapples, fresh or dried",4
17521,location,Salt (including table salt and denatured salt),1
17522,location,Plastic articles for technical uses,1
17523,location,Bakery Products,1
17524,location,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus;Prepared or Preserved Meat",2
17525,location,"Urea, whether or not in aqueous solution",1
17526,location,"Aluminum Tubes and Pipes;Copper Tubes and Pipes;Valves for Pipes, Boilers, Tanks, Etc.",3
17527,location,Products suitable for use as glues or adhesives,1
17528,location,3D Imaging and Realization Solutions,1
17529,location,Seats of a kind used for motor vehicles,1
17530,location,"Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg;Helicopters of an unladen weight exceeding 2,000 kg;Trays, dishes, plates, cups and the like, of paper or paperboard;Wound dressings",4
17531,location,Articles and equipment for sports or outdoor games;Mobile Satellite Phones;Satellite Navigation Equipment;Satellite Telecommunication Devices;Water filtering or purifying machinery and apparatus,5
17532,location,Activated Carbon;Vitamins and their derivatives,2
17533,location,Urology and Pelvic Health Devices,1
17534,location,"Carpets and other textile floor coverings, tufted, of nylon or other polyamides;Carpets and other textile floor coverings, woven, not tufted or flocked, of man-made textile materials;Fork-lift Trucks;Other Trucks Fitted With Lifting or Handling Equipment;Other carpets and other textile floor coverings, whether or not made up;Self-Propelled Works Trucks Not Fitted With Lifting or Handling Equipment",6
17535,location,"Breathing appliances and gas masks, excluding protective masks;Gas masks and respirators, excluding protective masks having neither mechanical parts nor replaceable filters;Safety helmets",3
17536,location,Heterocyclic compounds with nitrogen hetero-atom(s) only,1
17537,location,Semi-finished iron or non-alloy steel,1
17538,location,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel",1
17539,location,Glass containers for packing or conveyance of goods,1
17540,location,Mobile cranes,1
17541,location,Pegcetacoplan,1
17542,location,"Rolled or Flaked Cereal Grains, excluding barley and oats",1
17543,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17544,location,Galvanized Steel Structures,1
17545,location,Uranium ores and concentrates,1
17546,location,Dispensing systems;Plastic closures,2
17547,location,Copper Ores and Concentrates,1
17548,location,Valves,1
17549,location,"Peppers (Capsicum or Pimenta), fresh or chilled",1
17550,location,Other human therapeutic products;Vaccines for human medicine,2
17551,location,Paper Labels;Point of Sale Terminals,2
17552,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
17553,location,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, in rolls or sheets, other than paper of heading 4801 or 4803, weighing 40 g/m² or more but not more than 150 g/m²",1
17554,location,Exercise Equipment,1
17555,location,Crude Oil,1
17556,location,Crude Oil;Crude Petroleum Oils;Light Oils and Preparations;Natural Gas in Gaseous State;Petroleum Oils and Oils Obtained from Bituminous Minerals;Petroleum oils and oils obtained from bituminous minerals,6
17557,location,Tankers,1
17558,location,Botulinum Toxin Type A,1
17559,location,Honeycomb Cores,1
17560,location,Light Oils and Preparations,1
17561,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale;Polyethylene",2
17562,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale, nesoi",1
17563,location,"Memories, Electronic Integrated Circuits;Other Electronic Integrated Circuits;Processors and Controllers, Electronic Integrated Circuits",3
17564,location,"Building Blocks and Bricks of Cement, Concrete or Artificial Stone",1
17565,location,"Land Development Services;Lumber, coniferous (softwood) sawn or chipped lengthwise, sliced or peeled;Metal furniture, other than office furniture;Parts for telecommunication apparatus;Prepared binders for foundry molds or cores; chemical products and preparations of the chemical or allied industries;Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, diaries and similar articles;Residential Lot Development",8
17566,location,"Articles and equipment for sports or outdoor games;Coated Flat-Rolled Steel;Electronic Integrated Circuits;Electronic integrated circuits; n.e.s. in heading no. 8542;Frozen beverages;Industrial Fans and Blowers;Memories, electronic integrated circuits",8
17567,location,"Carpets and other textile floor coverings, tufted, of wool or fine animal hair;Electrical Machines and Apparatus, Having Individual Functions, Not Specified or Included Elsewhere;Other paper and paperboard, not containing fibers obtained by a mechanical or chemi-mechanical process",3
17568,location,Drilling Fluids and Additives,1
17569,location,Industrial Heating Equipment,1
17570,location,Fuel cell technology;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses;Ultrasonic Scanning Apparatus;X-ray Apparatus for Medical Use,4
17571,location,Surveying Instruments and Appliances,1
17572,location,"Pasta, whether or not cooked or stuffed",1
17573,location,Cookies (sweet biscuits);Fork-lift Trucks;Soya Beans,3
17574,location,"Engineered wood flooring panels;Glass containers for packing or conveyance of goods;Glassware for table, kitchen, toilet, office, indoor decoration or similar purposes;New pneumatic tires, of rubber, of a kind used on motor cars",4
17575,location,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines);Parts suitable for use solely or principally with the machines of headings 8501 or 8502,2
17576,location,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,1
17577,location,Semi-finished iron or non-alloy steel,1
17578,location,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel;Other bars and rods, of iron or non-alloy steel, hot-rolled",2
17579,location,Golf Balls,1
17580,location,"Mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored",1
17581,location,"Portland cement, other than white, whether or not artificially colored",1
17582,location,"AC motors, multi-phase, of an output exceeding 750 W but not exceeding 75 kW;Industrial machinery for other uses involving heating or cooling;Parts of air or vacuum pumps, air or other gas compressors",3
17583,location,Avance Nerve Graft;Parts suitable for use solely or principally with the machines of heading 8501 or 8502;Products suitable for use as glues or adhesives,3
17584,location,"Seats with metal frames, upholstered;Upholstered seats with wooden frames;Wooden furniture of a kind used in the bedroom",3
17585,location,"Stranded Wire, Ropes, and Cables, of Iron or Steel",1
17586,location,Plastic Construction Materials;Wire of Iron or Non-Alloy Steel,2
17587,location,Pigments and preparations based on titanium dioxide;Titanium Dioxide,2
17588,location,Pavement Additives,1
17589,location,"Printed Forms, Including Checkbooks",1
17590,location,Motor Vehicles for the Transport of Goods with Compression-Ignition Internal Combustion Piston Engine (Diesel or Semi-Diesel) of a Gross Vehicle Weight Not Exceeding 5 Tonnes;Motor Vehicles for the Transport of Goods with Spark-Ignition Internal Combustion Piston Engine of a Gross Vehicle Weight Not Exceeding 5 Tonnes,2
17591,location,"Flat-rolled products of iron or non-alloy steel, in coils",1
17592,location,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more",1
17593,location,"Passenger Motor Vehicles with Spark-Ignition Internal Combustion Reciprocating Piston Engine of a Cylinder Capacity Exceeding 1,500 cc But Not Exceeding 3,000 cc;Passenger Motor Vehicles with Spark-Ignition Internal Combustion Reciprocating Piston Engine of a Cylinder Capacity Exceeding 3,000 cc",2
17594,location,Corn (Maize) Seed,1
17595,location,Semi-finished iron or non-alloy steel,1
17596,location,"Crude Soybean Oil;Dog or cat food, put up for retail sale;Flat-rolled products of iron or non-alloy steel, coated with zinc;Other Tubes, Pipes and Hollow Profiles of Iron or Steel;Plastic articles for technical uses;Soya Beans",6
17597,location,Pipe fittings of iron or steel (excluding stainless),1
17598,location,"Corn starch;Flanges, of iron or steel;Parts suitable for use solely or principally with the machinery of headings 8425 to 8430;Protein concentrates and textured protein substances;Soybeans, whether or not broken;Tractors, other than tractors of heading 8709;Valves and similar appliances for pipes, boiler shells, tanks, vats or the like",7
17599,location,"Aluminum bars, rods, and profiles;Aluminum tubes and pipes",2
17600,location,Natural Gas,1
17601,location,Printed Advertising Materials,1
17602,location,Wind Turbines,1
17603,location,Fresh Grapes,1
17604,location,Centrifugal Pumps;Centrifugal pumps,2
17605,location,Crude Oil;Light Oils and Preparations,2
17606,location,"Crude Oil;Natural Gas;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude;Petroleum Oils, Other Than Crude",4
17607,location,Crude Oil;Crude Petroleum Oils;Natural Gas;Natural Gas in Gaseous State;Petroleum Oils and Oils Obtained from Bituminous Minerals,5
17608,location,Crude Oil,1
17609,location,Natural Gas,1
17610,location,"Light oils and preparations, of petroleum or bituminous minerals",1
17611,location,"Petroleum bitumen;Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations n.e.c.",3
17612,location,Filtering or purifying machinery and apparatus for gases,1
17613,location,Crude Petroleum Oils,1
17614,location,Frozen Potatoes;Prepared or Preserved Potatoes,2
17615,location,Safety seat belts for motor vehicles,1
17616,location,Eye make-up preparations;Parts Suitable for Use Solely or Principally with Internal Combustion Engines;Road Tractors for Semi-Trailers;Towers and Lattice Masts,4
17617,location,Windows and Their Frames,1
