Main Product Name,HS Code,Input Product,Industry,NAICS Code,Percentage Cost
Dissolving Wood Pulp,440121,Coniferous Wood Chips,Forestry and Logging,1133,45.0
Dissolving Wood Pulp,380400,Lignin,Chemical Manufacturing,325199,10.0
Dissolving Wood Pulp,290545,Sulfite Chemicals,Chemical Manufacturing,325188,15.0
Optical Media for Software,390110,Polyethylene,Plastics and Rubber Products Manufacturing,3261,20.0
Optical Media for Software,390740,Polycarbonate,Plastics and Rubber Products Manufacturing,3261,30.0
Optical Media for Software,370130,Photographic Plates and Film,Chemical Manufacturing,325992,25.0
Cellulosic Polymers,390510,"Polyvinyl alcohol, whether or not containing unhydrolyzed acetate groups",Chemical Manufacturing,325211,15.0
Cellulosic Polymers,391220,"Cellulose nitrates (including collodions), in primary forms",Chemical Manufacturing,325211,25.0
Cellulosic Polymers,391231,"Carboxymethylcellulose and its salts, in primary forms",Chemical Manufacturing,325211,20.0
Modified Cellulose,391231,Carboxymethylcellulose and its salts,Chemical Manufacturing,325199,30.0
Modified Cellulose,350510,Dextrins and other modified starches,Chemical Manufacturing,325199,25.0
Modified Cellulose,390690,Other acrylic polymers in primary forms,Plastics and Rubber Products Manufacturing,325211,15.0
"Notebooks, letter pads, memorandum pads, diaries and similar articles",480255,"Paper and paperboard, uncoated, weighing >150g/m2",Paper Manufacturing,322121,35.0
"Notebooks, letter pads, memorandum pads, diaries and similar articles",480990,Copying or transfer papers,Paper Manufacturing,322122,10.0
"Notebooks, letter pads, memorandum pads, diaries and similar articles",481710,Envelopes,Converted Paper Product Manufacturing,322230,5.0
"Notebooks, letter pads, memorandum pads, diaries and similar articles",830520,Staples in strips,Hardware Manufacturing,332613,3.0
"Notebooks, letter pads, memorandum pads, diaries and similar articles",321590,"Ink, other than printing ink","Paint, Coating, and Adhesive Manufacturing",325510,7.0
Optical Media for Software,852341,Optical media for reproducing sound only,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",334614,60.0
Optical Media for Software,392690,Plastic articles for packing goods,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,326112,15.0
Optical Media for Software,370320,"Photographic paper, paperboard and textiles","Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,10.0
Plastic office or school supplies,390210,Polypropylene,Plastics Material and Resin Manufacturing,325211,25.0
Plastic office or school supplies,390120,Polyethylene,Plastics Material and Resin Manufacturing,325211,20.0
Plastic office or school supplies,390422,Polyvinyl Chloride,Plastics Material and Resin Manufacturing,325211,15.0
Plastic office or school supplies,390690,Acrylic polymers,Plastics Material and Resin Manufacturing,325211,10.0
Office or desk equipment of base metal,721070,"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",Iron and Steel Mills and Ferroalloy Manufacturing,331110,15.0
Office or desk equipment of base metal,830242,"Other mountings, fittings and similar articles suitable for furniture",Hardware Manufacturing,332510,10.0
Office or desk equipment of base metal,830210,Hinges of base metal,Hardware Manufacturing,332510,5.0
Office or desk equipment of base metal,732690,Other articles of iron or steel,Iron and Steel Mills and Ferroalloy Manufacturing,331110,8.0
Other office machines,850440,Static converters,Electrical Equipment Manufacturing,335999,12.5
Other office machines,853710,"Boards, panels, consoles, desks, cabinets and other bases, equipped for electric control or the distribution of electricity",Electrical Equipment Manufacturing,335313,8.3
Other office machines,854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Other Electronic Component Manufacturing,334413,15.4
Other office machines,847330,Parts and accessories of the machines of heading 8471,Computer and Peripheral Equipment Manufacturing,334111,10.7
Other office machines,850450,Inductors,Electrical Equipment Manufacturing,335311,5.6
"Cut flowers and flower buds for bouquets or for ornamental purposes, fresh",310100,Animal or vegetable fertilizers,Fertilizer Manufacturing,325314,10.0
"Cut flowers and flower buds for bouquets or for ornamental purposes, fresh",391731,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other materials",Plastics Product Manufacturing,326122,5.0
"Cut flowers and flower buds for bouquets or for ornamental purposes, fresh",842481,Agricultural or horticultural sprayers,Agricultural Implement Manufacturing,333111,7.0
"Cut flowers and flower buds for bouquets or for ornamental purposes, fresh",441820,Doors and their frames and thresholds of wood,Millwork,321911,3.0
Coniferous Wood in the Rough,440121,"Wood in the rough, coniferous, treated with paint, stains, creosote or other preservatives",Forestry and Logging,113,40.0
Coniferous Wood in the Rough,440320,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared",Forestry and Logging,113,25.0
Coniferous Wood in the Rough,271019,"Petroleum oils and oils obtained from bituminous minerals (other than crude), preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations",Petroleum and Coal Products Manufacturing,324,5.0
"Lumber, Sawn or Chipped Lengthwise, of Coniferous Wood",440320,"Wood in the rough, coniferous",Forestry and Logging,1132,50.0
"Lumber, Sawn or Chipped Lengthwise, of Coniferous Wood",440710,"Wood sawn or chipped lengthwise, coniferous, thickness >6 mm",Sawmills and Wood Preservation,321113,30.0
"Lumber, Sawn or Chipped Lengthwise, of Coniferous Wood",846692,Parts and accessories for saws,Manufacturing of Machinery and Equipment,333243,10.0
"Lumber, Sawn or Chipped Lengthwise, of Coniferous Wood",271019,"Petroleum oils, other than crude",Petroleum and Coal Products Manufacturing,324110,5.0
Wooden Doors and Frames,440710,"Lumber, coniferous (softwood)",Wood Product Manufacturing,321113,30.0
Wooden Doors and Frames,441820,"Doors, frames and thresholds, of wood",Wood Product Manufacturing,321911,20.0
Wooden Doors and Frames,440320,"Wood, tropical, in the rough",Wood Product Manufacturing,321113,15.0
Wooden Doors and Frames,441233,"Plywood, veneered panels and similar laminated wood",Wood Product Manufacturing,321212,10.0
Optical Media for Software,852341,"Discs for laser reading systems, for reproducing phenomena other than sound or image",Manufacturing and Reproducing Magnetic and Optical Media,334613,40.0
Optical Media for Software,390110,Polyethylene with a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,25.0
Optical Media for Software,390740,"Polycarbonates, in primary forms",Plastics Material and Resin Manufacturing,325211,20.0
"Static converters (e.g., inverters)",854239,Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Static converters (e.g., inverters)",850440,Power Supplies and Transformers,Electrical Equipment Manufacturing,335311,15.0
"Static converters (e.g., inverters)",853400,Printed Circuits,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,10.0
"Static converters (e.g., inverters)",854110,"Diodes, Transistors and Similar Semiconductor Devices",Semiconductor and Other Electronic Component Manufacturing,334413,8.0
Optical Media for Software,392310,Plastic Cases for Disks,Plastics Product Manufacturing,326199,5.0
Optical Media for Software,852341,Optical Media for Software Recording,Magnetic and Optical Recording Media Manufacturing,334613,40.0
Optical Media for Software,850710,Lead-acid accumulators (batteries),Battery Manufacturing,335911,5.0
Radio Navigational Aid Apparatus,854239,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,15.5
Radio Navigational Aid Apparatus,853321,Fixed Resistors for a Power Handling Capacity Not Exceeding 20 W,Electronic Component Manufacturing,334419,7.2
Radio Navigational Aid Apparatus,850440,Static Converters,"Power, Distribution, and Specialty Transformer Manufacturing",335311,8.7
Radio Navigational Aid Apparatus,854449,Insulated Wires and Cables,Wiring Device Manufacturing,335931,5.3
Traffic Control Equipment,854370,Electrical Machines and Apparatus,Electrical Equipment Manufacturing,335999,15.0
Traffic Control Equipment,850440,Static Converters,Electrical Equipment Manufacturing,335999,10.0
Traffic Control Equipment,853080,Electrical Signaling Equipment,Communications Equipment Manufacturing,334290,12.0
Traffic Control Equipment,392690,Plastic Articles,Plastics Product Manufacturing,326199,8.0
Traffic Control Equipment,730890,Structures and Parts of Iron or Steel,Fabricated Metal Product Manufacturing,332312,5.0
Speed Measuring Equipment,854231,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Speed Measuring Equipment,903089,"Instruments and Apparatus for Measuring or Checking Voltage, Current, Resistance","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334515,15.0
Speed Measuring Equipment,850440,Static Converters and Rectifiers,Electrical Equipment Manufacturing,335999,10.0
Speed Measuring Equipment,902990,Parts and Accessories for Measuring or Checking Instruments and Apparatus,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334515,8.0
Parts suitable for use solely or principally with transmission apparatus for radio-broadcasting or television,854239,Electronic integrated circuits and microassemblies,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Parts suitable for use solely or principally with transmission apparatus for radio-broadcasting or television,853690,Electrical apparatus for switching or protecting electrical circuits,Electrical Equipment Manufacturing,335999,15.0
Parts suitable for use solely or principally with transmission apparatus for radio-broadcasting or television,850440,Static converters,Electrical Equipment Manufacturing,335999,12.0
Parts suitable for use solely or principally with transmission apparatus for radio-broadcasting or television,854442,Insulated electric conductors,Wire and Cable Manufacturing,335929,8.0
Parts suitable for use solely or principally with transmission apparatus for radio-broadcasting or television,731815,"Bolts and screws, of iron or steel",Hardware Manufacturing,332722,5.0
"Machines for the reception, conversion, and transmission or regeneration of voice, images or other data",854231,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Machines for the reception, conversion, and transmission or regeneration of voice, images or other data",850440,Static converters,Electrical Equipment Manufacturing,335999,10.0
"Machines for the reception, conversion, and transmission or regeneration of voice, images or other data",853400,Printed circuits,Semiconductor and Other Electronic Component Manufacturing,334412,15.0
"Machines for the reception, conversion, and transmission or regeneration of voice, images or other data",854239,Electronic integrated circuits: Amplifiers,Semiconductor and Other Electronic Component Manufacturing,334413,5.0
"Machines for the reception, conversion, and transmission or regeneration of voice, images or other data",901380,"Optical devices, appliances and instruments","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334516,8.0
Metal furniture (other than for office use),730890,"Structures and parts of structures, of iron or steel",Iron and Steel Mills and Ferroalloy Manufacturing,331110,35.0
Metal furniture (other than for office use),760429,"Aluminum alloy bars, rods and profiles",Alumina and Aluminum Production and Processing,331313,15.0
Metal furniture (other than for office use),830242,"Base metal mountings, fittings and similar articles suitable for furniture",Hardware Manufacturing,332510,10.0
Metal furniture (other than for office use),940320,Metal furniture (other than for office use),Household and Institutional Furniture Manufacturing,337124,20.0
Optical Media for Software,852341,"Discs for laser reading systems, for reproducing phenomena other than sound or image",Magnetic and Optical Recording Media Manufacturing,334613,40.0
Optical Media for Software,390110,Polyethylene with a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,12.0
Optical Media for Software,392190,"Plates, sheets, film, foil and strip, of plastics",Plastics Material and Resin Manufacturing,325211,8.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh",310100,Animal or vegetable fertilizers,Fertilizer Manufacturing,325311,15.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh",380810,Insecticides,Pesticide and Other Agricultural Chemical Manufacturing,325320,10.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh",843680,Agricultural machinery,Agricultural Implement Manufacturing,333111,20.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, dried",120999,"Seeds, fruits and spores, of a kind used for sowing, other",Agriculture,111998,20.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, dried",440130,"Sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",Wood Product Manufacturing,321999,15.0
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, dried",842481,Agricultural or horticultural sprayers,Agricultural Machinery Manufacturing,333111,10.0
"Confectionery products, including candies and chocolates",170111,"Cane or beet sugar and chemically pure sucrose, in solid form",Sugar Manufacturing,31131,20.0
"Confectionery products, including candies and chocolates",180100,"Cocoa beans, whole or broken, raw or roasted",Cocoa and Chocolate Manufacturing,311351,25.0
"Confectionery products, including candies and chocolates",040221,"Milk and cream, concentrated or containing added sugar or other sweetening matter",Dairy Product Manufacturing,31151,15.0
"Confectionery products, including candies and chocolates",170490,Sugar confectionery not containing cocoa,Confectionery Manufacturing from Purchased Chocolate,31134,10.0
"Confectionery products, including candies and chocolates",080212,"Almonds, fresh or dried, shelled",Nut Farming,111335,5.0
Edible fruit and nut preparations,080620,"Grapes, dried (raisins)",Fruit and Tree Nut Farming,1113,15.0
Edible fruit and nut preparations,080212,"Almonds, fresh or dried, shelled",Nut Farming,111335,20.0
Edible fruit and nut preparations,080232,"Walnuts, fresh or dried, shelled",Nut Farming,111335,10.0
Edible fruit and nut preparations,170490,Sugar confectionery not containing cocoa,Sugar and Confectionery Product Manufacturing,311340,5.0
Optical Media for Software,852341,"Optical media, unrecorded, for reproducing phenomena other than sound or image","Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",334614,25.0
Optical Media for Software,392690,"Articles of plastics and articles of other materials of headings 3901 to 3914, n.e.s.",Plastics Product Manufacturing,326199,10.0
Optical Media for Software,370390,"Photographic paper, paperboard and textiles, other than of paper, paperboard or textiles",Photographic and Photocopying Equipment Manufacturing,333316,5.0
Vaccines for Human Medicine,300220,Antisera and other blood fractions,Pharmaceutical and Medicine Manufacturing,325412,30.0
Vaccines for Human Medicine,293499,Nucleic acids and their salts,Basic Chemical Manufacturing,325199,15.0
Vaccines for Human Medicine,382200,Diagnostic or laboratory reagents,Chemical Manufacturing,325413,10.0
"X-ray apparatus for medical, surgical or veterinary uses",902290,X-ray generators,Medical Equipment and Supplies Manufacturing,334510,25.0
"X-ray apparatus for medical, surgical or veterinary uses",850440,Static converters,Electrical Equipment Manufacturing,335999,15.0
"X-ray apparatus for medical, surgical or veterinary uses",854231,Electronic integrated circuits as processors and controllers,Semiconductor and Related Device Manufacturing,334413,20.0
"X-ray apparatus for medical, surgical or veterinary uses",902780,Instruments and apparatus for physical or chemical analysis,Analytical Laboratory Instrument Manufacturing,334516,10.0
X-ray generators and parts thereof,854370,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere",Electrical Equipment Manufacturing,335999,15.0
X-ray generators and parts thereof,900290,"Lenses, prisms, mirrors and other optical elements, mounted",Optical Instrument and Lens Manufacturing,333314,10.0
X-ray generators and parts thereof,850440,Static converters,Electrical Equipment Manufacturing,335999,12.0
X-ray generators and parts thereof,902290,X-ray tubes,Medical Equipment and Supplies Manufacturing,339113,25.0
Optical Media for Software,392690,"Articles of plastics and articles of other materials of headings 3901 to 3914, n.e.s.",Plastics Product Manufacturing,326199,20.0
Optical Media for Software,852390,"Prepared unrecorded media for sound recording or similar recording of other phenomena, other than products of Chapter 37",Magnetic and Optical Recording Media Manufacturing,334613,30.0
Optical Media for Software,850490,"Parts of electrical transformers, static converters and inductors",Electrical Equipment Manufacturing,335311,15.0
Computed tomography apparatus,854231,Electronic integrated circuits and microassemblies,Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Computed tomography apparatus,902790,Parts and accessories of instruments and apparatus for physical or chemical analysis,Analytical Laboratory Instrument Manufacturing,334516,10.0
Computed tomography apparatus,850440,Static converters,Electrical Equipment Manufacturing,335999,8.0
Computed tomography apparatus,901819,"Electro-diagnostic apparatus, n.e.s., and parts and accessories thereof",Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,12.0
Computed tomography apparatus,732690,Other articles of iron or steel,Metalworking Machinery Manufacturing,332999,5.0
Automatic Vending Machines,847330,Parts and accessories of automatic data processing machines,Computer and Electronic Product Manufacturing,334118,15.0
Automatic Vending Machines,853710,"Boards, panels, consoles, desks, cabinets and other bases for electric control or the distribution of electricity",Electrical Equipment Manufacturing,335931,10.0
Automatic Vending Machines,854239,Electronic integrated circuits and microassemblies,Semiconductor and Other Electronic Component Manufacturing,334413,20.0
Automatic Vending Machines,902610,Instruments for measuring or checking the flow or level of liquids,Instrument Manufacturing,334513,5.0
Lidar Sensors,854140,Photosensitive Semiconductor Devices,Semiconductor and Related Device Manufacturing,334413,20.0
Lidar Sensors,900190,"Optical Elements, Unmounted",Optical Instrument and Lens Manufacturing,333314,15.0
Lidar Sensors,850440,Static Converters,Electrical Equipment Manufacturing,335999,10.0
Lidar Sensors,901590,Parts and Accessories for Surveying Instruments,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334519,5.0
Optical Media for Software,852341,Optical Media for Software,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",334614,25.0
Optical Media for Software,392310,Plastic Cases,Plastics Product Manufacturing,326199,10.0
Optical Media for Software,481730,"Envelopes, Letter Cards, and Plain Postcards",Paperboard Container Manufacturing,322219,5.0
Optical Components,900190,"Lenses, prisms, mirrors and other optical elements, unmounted",Optical Instrument and Lens Manufacturing,333314,25.0
Optical Components,900220,"Filters and parts thereof, for photographic use",Photographic and Photocopying Equipment Manufacturing,333316,15.0
Optical Components,900290,Other optical elements and instruments,Optical Instrument and Lens Manufacturing,333314,20.0
Optical Components,900311,"Frames and mountings for spectacles, goggles or the like",Ophthalmic Goods Manufacturing,339115,10.0
Optical Components,900120,Sheets and plates of polarizing material,Optical Instrument and Lens Manufacturing,333314,18.0
Microtiter plates and related accessories,390210,Polypropylene,Plastics Material and Resin Manufacturing,325211,30.0
Microtiter plates and related accessories,390120,Polyethylene,Plastics Material and Resin Manufacturing,325211,20.0
Microtiter plates and related accessories,390410,Polyvinyl Chloride (PVC),Plastics Material and Resin Manufacturing,325211,10.0
Optical Media for Software,392690,Plastic articles for optical media,Other Plastics Product Manufacturing,326199,25.0
Optical Media for Software,852341,Discs for laser reading systems,Magnetic and Optical Recording Media Manufacturing,334613,35.0
Optical Media for Software,392020,"Plates, sheets, film, foil and strip of plastic, non-cellular",Plastics Material and Resin Manufacturing,325211,15.0
Artificial Heart Valves,392010,Polymers of Ethylene,Plastics Material and Resin Manufacturing,325211,10.5
Artificial Heart Valves,901839,"Catheters, Cannulae and the like",Medical Equipment and Supplies Manufacturing,339113,15.0
Artificial Heart Valves,710490,Synthetic Precious or Semi-Precious Stones,Jewelry and Silverware Manufacturing,339910,8.0
Artificial Heart Valves,300670,Gel Preparations for Human and Veterinary Medicine,Pharmaceutical Preparation Manufacturing,325412,12.0
"Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",722300,Stainless Steel in Primary Forms,Steel Manufacturing,331110,25.0
"Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",390120,Polyethylene in Primary Forms,Plastics Material and Resin Manufacturing,325211,15.0
"Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",854449,Insulated Electric Conductors,Electrical Equipment Manufacturing,335999,10.0
"Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",901839,Medical Needles and Catheters,Medical Equipment and Supplies Manufacturing,339113,20.0
"Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",902190,Orthopedic or Fracture Appliances,Medical Equipment and Supplies Manufacturing,339113,5.0
"Instruments and Appliances for Medical, Surgical or Veterinary Use",392690,Plastic articles for medical use,Plastics Product Manufacturing,326199,15.0
"Instruments and Appliances for Medical, Surgical or Veterinary Use",401519,Surgical gloves of vulcanized rubber,Rubber Product Manufacturing,339113,10.0
"Instruments and Appliances for Medical, Surgical or Veterinary Use",901890,Parts and accessories for medical instruments,Medical Equipment and Supplies Manufacturing,339112,20.0
"Instruments and Appliances for Medical, Surgical or Veterinary Use",902190,Artificial parts of the body,Medical Equipment and Supplies Manufacturing,339113,25.0
"Instruments and Appliances for Medical, Surgical or Veterinary Use",731829,"Fasteners, such as bolts, nuts, screws",Hardware Manufacturing,332722,5.0
Skin Care Products,330290,Mixtures of odoriferous substances,Fragrance and Flavor Manufacturing,325620,15.0
Skin Care Products,293621,Vitamins A and their derivatives,Pharmaceutical and Medicine Manufacturing,325412,10.0
Skin Care Products,151620,Vegetable oils and their fractions,Fats and Oils Refining and Blending,311225,8.0
Skin Care Products,340111,Soap; organic surface-active products,Soap and Cleaning Compound Manufacturing,325611,5.0
Skin Care Products,350691,Adhesives based on polymers,Adhesive Manufacturing,325520,2.0
Over-the-Counter Pharmaceuticals,293629,Vitamins and their derivatives,Pharmaceutical and Medicine Manufacturing,325412,15.0
Over-the-Counter Pharmaceuticals,300490,"Medicaments consisting of mixed or unmixed products, for therapeutic or prophylactic uses",Pharmaceutical and Medicine Manufacturing,325412,25.0
Over-the-Counter Pharmaceuticals,293399,Heterocyclic compounds with nitrogen hetero-atom(s) only,Basic Chemical Manufacturing,325199,10.0
Over-the-Counter Pharmaceuticals,294200,Other organic compounds,Basic Chemical Manufacturing,325199,8.0
Over-the-Counter Pharmaceuticals,300390,Other medicaments,Pharmaceutical and Medicine Manufacturing,325412,12.0
"Spectrometers, spectrophotometers and spectrographs using optical radiations",900190,"Lenses, prisms, mirrors and other optical elements, unmounted",Optical Instrument and Lens Manufacturing,333314,25.0
"Spectrometers, spectrophotometers and spectrographs using optical radiations",854140,"Photosensitive semiconductor devices, including photovoltaic cells",Semiconductor and Other Electronic Component Manufacturing,334413,15.0
"Spectrometers, spectrophotometers and spectrographs using optical radiations",901320,"Lasers, other than laser diodes","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334516,20.0
"Spectrometers, spectrophotometers and spectrographs using optical radiations",900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",Optical Instrument and Lens Manufacturing,333314,10.0
Other instruments and apparatus for physical or chemical analysis,854231,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Other instruments and apparatus for physical or chemical analysis,901790,Parts and accessories for instruments and apparatus for physical or chemical analysis,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334519,15.0
Other instruments and apparatus for physical or chemical analysis,902690,Parts and accessories for instruments and apparatus for measuring or checking variables of liquids or gases,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334519,10.0
Other instruments and apparatus for physical or chemical analysis,903180,"Other measuring or checking instruments, appliances, and machines","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334519,8.0
"Instruments and apparatus for measuring or checking quantities of heat, sound or light",854231,Electronic Integrated Circuits,Semiconductors and Other Electronic Component Manufacturing,334413,25.0
"Instruments and apparatus for measuring or checking quantities of heat, sound or light",853400,Printed Circuits,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,15.0
"Instruments and apparatus for measuring or checking quantities of heat, sound or light",902690,Parts and accessories for measuring or checking instruments,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,334515,20.0
"Instruments and apparatus for measuring or checking quantities of heat, sound or light",901390,Parts and accessories for liquid crystal devices,Optical Instrument and Lens Manufacturing,333314,10.0
"Instruments and apparatus for measuring or checking quantities of heat, sound or light",854140,Photosensitive Semiconductor Devices,Semiconductors and Other Electronic Component Manufacturing,334413,5.0
"Made-up textile articles, including facemasks",520811,Unbleached plain woven fabrics of cotton,Textile Mills,313210,15.0
"Made-up textile articles, including facemasks",540233,Textured filament yarn of polyester,Textile Mills,313110,10.0
"Made-up textile articles, including facemasks",560312,"Nonwovens, whether or not impregnated, coated, covered or laminated",Textile Product Mills,314999,20.0
"Made-up textile articles, including facemasks",580790,"Labels, badges and similar articles of textile materials",Apparel Manufacturing,315990,5.0
"Immunological products, not elsewhere specified",293499,"Nucleic acids and their salts, other than those of heading 2934",Pharmaceutical and Medicine Manufacturing,325412,20.0
"Immunological products, not elsewhere specified",300212,Antisera and other blood fractions,Pharmaceutical and Medicine Manufacturing,325412,15.0
"Immunological products, not elsewhere specified",300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",Pharmaceutical and Medicine Manufacturing,325412,25.0
Corn (Maize) Seed,310520,"Mineral or Chemical Fertilizers Containing Nitrogen, Phosphorus, and Potassium",Fertilizer Manufacturing,32531,15.0
Corn (Maize) Seed,380893,"Herbicides, Antisprouting Products and Plant-Growth Regulators",Pesticide and Other Agricultural Chemical Manufacturing,32532,10.0
Corn (Maize) Seed,120600,Sunflower Seeds,Oilseed and Grain Farming,11112,5.0
Optical Media for Software,852341,"Optical Media for Laser Reading Systems, Unrecorded",Blank Optical Disc Manufacturing,334613,25.0
Optical Media for Software,390110,Polyethylene with a Specific Gravity of Less Than 0.94,Plastics Material and Resin Manufacturing,325211,12.0
Optical Media for Software,390760,Polyethylene Terephthalate (PET),Plastics Material and Resin Manufacturing,325211,8.0
Rice in the Husk (Paddy or Rough),310210,"Urea, whether or not in aqueous solution",Fertilizer Manufacturing,325311,15.0
Rice in the Husk (Paddy or Rough),230240,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants",Animal Food Manufacturing,311119,10.0
Rice in the Husk (Paddy or Rough),843780,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",Agricultural Implement Manufacturing,333111,8.0
"Tomatoes, Fresh or Chilled",310100,"Fertilizers, animal or vegetable origin","Agriculture, Forestry, Fishing and Hunting",111998,15.0
"Tomatoes, Fresh or Chilled",843353,Combine harvesters,Machinery Manufacturing,333111,10.0
"Tomatoes, Fresh or Chilled",870190,Tractors (other than works trucks),"Agriculture, Construction, and Mining Machinery Manufacturing",333111,5.0
"Tomatoes, Fresh or Chilled",390110,Polyethylene having a specific gravity of less than 0.94,Plastics and Rubber Products Manufacturing,326113,2.0
Optical Media for Software,852341,Optical media for reproducing phenomena other than sound or image,Computer and Electronic Product Manufacturing,334614,30.0
Optical Media for Software,392690,Articles of plastics,Plastics and Rubber Products Manufacturing,326199,10.0
Optical Media for Software,480990,Copying or transfer papers,Paper Manufacturing,322230,5.0
"Grapes, Fresh",310520,"Mineral or Chemical Fertilizers Containing Nitrogen, Phosphorus, and Potassium",Agricultural Chemical Manufacturing,325314,15.0
"Grapes, Fresh",841330,"Pumps for Liquids, Whether or Not Fitted with a Measuring Device",Pump and Compressor Manufacturing,333911,5.0
"Grapes, Fresh",842481,Agricultural or Horticultural Sprayers,Farm Machinery and Equipment Manufacturing,333111,3.0
"Grapes, Fresh",870590,Special Purpose Motor Vehicles,Automobile Manufacturing,336112,2.0
"Grapes, Fresh",080620,"Grapes, Fresh",Fruit and Tree Nut Farming,111332,25.0
Trucks with Gross Vehicle Weight Exceeding 20 Tons,720839,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",Iron and Steel Mills and Ferroalloy Manufacturing,331110,20.0
Trucks with Gross Vehicle Weight Exceeding 20 Tons,870840,"Gear boxes and parts thereof, for motor vehicles",Motor Vehicle Parts Manufacturing,336350,15.0
Trucks with Gross Vehicle Weight Exceeding 20 Tons,870850,"Drive-axles with differential, whether or not provided with other transmission components, for motor vehicles",Motor Vehicle Parts Manufacturing,336350,10.0
Trucks with Gross Vehicle Weight Exceeding 20 Tons,870899,"Parts and accessories of the motor vehicles of headings 8701 to 8705, nes",Motor Vehicle Parts Manufacturing,336350,25.0
Trucks with Gross Vehicle Weight Exceeding 20 Tons,401120,"New pneumatic tires, of rubber, of a kind used on buses or trucks",Tire Manufacturing,326211,5.0
Motor Vehicles for Transport of Goods,870840,Gearboxes and Parts Thereof,Automobile Parts Manufacturing,336350,15.0
Motor Vehicles for Transport of Goods,870850,Drive Axles with Differential,Automobile Parts Manufacturing,336350,10.0
Motor Vehicles for Transport of Goods,870870,Road Wheels and Parts and Accessories Thereof,Automobile Parts Manufacturing,336350,8.0
Motor Vehicles for Transport of Goods,401120,"New Pneumatic Tires, of Rubber",Tire Manufacturing,326211,7.0
Motor Vehicles for Transport of Goods,850710,Lead-acid Accumulators (Batteries),Battery Manufacturing,335911,5.0
Optical Media for Software,852341,Optical Discs for Laser Reading Systems for Reproducing Sound Only,Computer Storage Device Manufacturing,334112,25.0
Optical Media for Software,392690,"Plastics and Articles Thereof, Not Elsewhere Specified",Plastics Product Manufacturing,326199,10.0
